transaction_id,transaction_date,Date_Brackets,transaction_time,Transaction time ,transaction_qty,store_location,product_id,unit_price,product_category,product_type,product_detail,Product Braket,Sales
171,1/1/2023,Jan,12:09:12 PM,Afternoon,2,Hell's Kitchen,50,2.50,Tea,Brewed Black tea,Earl Grey Rg,Earl Grey,5.00
172,1/1/2023,Jan,12:13:07 PM,Afternoon,2,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,Latte,7.50
173,1/1/2023,Jan,12:14:26 PM,Afternoon,2,Hell's Kitchen,35,3.10,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Jamaican Coffee River,6.20
174,1/1/2023,Jan,12:17:38 PM,Afternoon,2,Hell's Kitchen,50,2.50,Tea,Brewed Black tea,Earl Grey Rg,Earl Grey,5.00
175,1/1/2023,Jan,12:18:07 PM,Afternoon,2,Lower Manhattan,25,2.20,Coffee,Organic brewed coffee,Brazilian Sm,Brazilian,4.40
176,1/1/2023,Jan,12:18:44 PM,Afternoon,2,Astoria,49,3.00,Tea,Brewed Black tea,English Breakfast Lg,English Breakfast,6.00
177,1/1/2023,Jan,12:20:16 PM,Afternoon,2,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sustainably Grown Organic,7.50
178,1/1/2023,Jan,12:23:39 PM,Afternoon,1,Astoria,24,3.00,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Our Old Time Diner Blend,3.00
179,1/1/2023,Jan,12:27:06 PM,Afternoon,2,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,Cappuccino,8.50
180,1/1/2023,Jan,12:30:46 PM,Afternoon,2,Astoria,44,2.50,Tea,Brewed herbal tea,Peppermint Rg,Peppermint,5.00
181,1/1/2023,Jan,12:30:49 PM,Afternoon,1,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte,Latte,3.75
182,1/1/2023,Jan,12:33:20 PM,Afternoon,2,Astoria,54,2.50,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Morning Sunrise Chai,5.00
183,1/1/2023,Jan,12:33:35 PM,Afternoon,2,Astoria,29,2.50,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Columbian Medium Roast,5.00
184,1/1/2023,Jan,12:35:53 PM,Afternoon,2,Lower Manhattan,31,2.20,Coffee,Gourmet brewed coffee,Ethiopia Sm,Ethiopia,4.40
185,1/1/2023,Jan,12:36:57 PM,Afternoon,1,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sustainably Grown Organic,3.75
186,1/1/2023,Jan,12:38:28 PM,Afternoon,2,Hell's Kitchen,49,3.00,Tea,Brewed Black tea,English Breakfast Lg,English Breakfast,6.00
187,1/1/2023,Jan,12:42:26 PM,Afternoon,1,Astoria,53,3.00,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Traditional Blend Chai,3.00
188,1/1/2023,Jan,12:44:01 PM,Afternoon,1,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sustainably Grown Organic,3.75
189,1/1/2023,Jan,12:44:31 PM,Afternoon,1,Astoria,53,3.00,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Traditional Blend Chai,3.00
190,1/1/2023,Jan,12:44:32 PM,Afternoon,1,Astoria,52,2.50,Tea,Brewed Chai tea,Traditional Blend Chai Rg,Traditional Blend Chai,2.50
191,1/1/2023,Jan,12:45:52 PM,Afternoon,2,Astoria,28,2.00,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Columbian Medium Roast,4.00
192,1/1/2023,Jan,12:46:22 PM,Afternoon,1,Astoria,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Spicy Eye Opener Chai,2.55
193,1/1/2023,Jan,12:46:26 PM,Afternoon,1,Astoria,23,2.50,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Our Old Time Diner Blend,2.50
194,1/1/2023,Jan,12:46:55 PM,Afternoon,1,Astoria,33,3.50,Coffee,Gourmet brewed coffee,Ethiopia Lg,Ethiopia,3.50
195,1/1/2023,Jan,12:46:55 PM,Afternoon,1,Astoria,75,3.50,Bakery,Pastry,Croissant,Croissant,3.50
196,1/1/2023,Jan,12:48:08 PM,Afternoon,2,Astoria,38,3.75,Coffee,Barista Espresso,Latte,Latte,7.50
197,1/1/2023,Jan,12:49:48 PM,Afternoon,1,Hell's Kitchen,30,3.00,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Columbian Medium Roast,3.00
198,1/1/2023,Jan,12:50:15 PM,Afternoon,1,Astoria,59,4.50,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Dark chocolate,4.50
199,1/1/2023,Jan,12:50:28 PM,Afternoon,2,Astoria,32,3.00,Coffee,Gourmet brewed coffee,Ethiopia Rg,Ethiopia,6.00
200,1/1/2023,Jan,12:51:21 PM,Afternoon,1,Hell's Kitchen,53,3.00,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Traditional Blend Chai,3.00
201,1/1/2023,Jan,12:51:57 PM,Afternoon,1,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Sustainably Grown Organic,4.75
202,1/1/2023,Jan,12:51:57 PM,Afternoon,1,Lower Manhattan,72,3.25,Bakery,Scone,Ginger Scone,Ginger Scone,3.25
203,1/1/2023,Jan,12:52:18 PM,Afternoon,1,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Spicy Eye Opener Chai,2.55
204,1/1/2023,Jan,12:52:18 PM,Afternoon,1,Lower Manhattan,75,3.50,Bakery,Pastry,Croissant,Croissant,3.50
205,1/1/2023,Jan,12:53:11 PM,Afternoon,2,Hell's Kitchen,29,2.50,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Columbian Medium Roast,5.00
206,1/1/2023,Jan,12:53:59 PM,Afternoon,1,Hell's Kitchen,37,3.00,Coffee,Barista Espresso,Espresso shot,Espresso shot,3.00
207,1/1/2023,Jan,12:55:25 PM,Afternoon,1,Astoria,49,3.00,Tea,Brewed Black tea,English Breakfast Lg,English Breakfast,3.00
208,1/1/2023,Jan,12:55:27 PM,Afternoon,1,Lower Manhattan,57,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Spicy Eye Opener Chai,3.10
209,1/1/2023,Jan,12:55:27 PM,Afternoon,1,Lower Manhattan,75,3.50,Bakery,Pastry,Croissant,Croissant,3.50
210,1/1/2023,Jan,12:55:36 PM,Afternoon,1,Hell's Kitchen,45,3.00,Tea,Brewed herbal tea,Peppermint Lg,Peppermint,3.00
211,1/1/2023,Jan,12:55:53 PM,Afternoon,2,Hell's Kitchen,26,3.00,Coffee,Organic brewed coffee,Brazilian Rg,Brazilian,6.00
212,1/1/2023,Jan,12:56:33 PM,Afternoon,1,Astoria,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Sustainably Grown Organic,4.75
213,1/1/2023,Jan,12:56:59 PM,Afternoon,1,Astoria,47,3.00,Tea,Brewed Green tea,Serenity Green Tea Lg,Serenity Green Tea,3.00
214,1/1/2023,Jan,12:58:54 PM,Afternoon,2,Astoria,44,2.50,Tea,Brewed herbal tea,Peppermint Rg,Peppermint,5.00
215,1/1/2023,Jan,12:59:06 PM,Afternoon,1,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Jamaican Coffee River,3.75
216,1/1/2023,Jan,1:00:38 PM,Afternoon,2,Lower Manhattan,30,3.00,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Columbian Medium Roast,6.00
217,1/1/2023,Jan,1:01:33 PM,Afternoon,2,Lower Manhattan,25,2.20,Coffee,Organic brewed coffee,Brazilian Sm,Brazilian,4.40
218,1/1/2023,Jan,1:02:40 PM,Afternoon,1,Hell's Kitchen,49,3.00,Tea,Brewed Black tea,English Breakfast Lg,English Breakfast,3.00
219,1/1/2023,Jan,1:02:40 PM,Afternoon,1,Hell's Kitchen,78,4.50,Bakery,Scone,Scottish Cream Scone ,Scottish Cream Scone,4.50
220,1/1/2023,Jan,1:02:52 PM,Afternoon,1,Hell's Kitchen,26,3.00,Coffee,Organic brewed coffee,Brazilian Rg,Brazilian,3.00
221,1/1/2023,Jan,1:03:13 PM,Afternoon,2,Astoria,43,3.00,Tea,Brewed herbal tea,Lemon Grass Lg,Lemon Grass,6.00
222,1/1/2023,Jan,1:04:01 PM,Afternoon,2,Hell's Kitchen,25,2.20,Coffee,Organic brewed coffee,Brazilian Sm,Brazilian,4.40
223,1/1/2023,Jan,1:04:01 PM,Afternoon,1,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,Ginger Scone,3.25
224,1/1/2023,Jan,1:04:22 PM,Afternoon,2,Hell's Kitchen,42,2.50,Tea,Brewed herbal tea,Lemon Grass Rg,Lemon Grass,5.00
225,1/1/2023,Jan,1:04:37 PM,Afternoon,2,Hell's Kitchen,54,2.50,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Morning Sunrise Chai,5.00
226,1/1/2023,Jan,1:04:51 PM,Afternoon,1,Astoria,22,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Our Old Time Diner Blend,2.00
227,1/1/2023,Jan,1:05:56 PM,Afternoon,1,Astoria,58,3.50,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Dark chocolate,3.50
228,1/1/2023,Jan,1:07:37 PM,Afternoon,2,Lower Manhattan,24,3.00,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Our Old Time Diner Blend,6.00
229,1/1/2023,Jan,1:09:03 PM,Afternoon,1,Astoria,35,3.10,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Jamaican Coffee River,3.10
230,1/1/2023,Jan,1:12:03 PM,Afternoon,2,Lower Manhattan,30,3.00,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Columbian Medium Roast,6.00
231,1/1/2023,Jan,1:13:09 PM,Afternoon,1,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sustainably Grown Organic,3.75
232,1/1/2023,Jan,1:17:30 PM,Afternoon,1,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Spicy Eye Opener Chai,2.55
233,1/1/2023,Jan,1:17:32 PM,Afternoon,2,Astoria,55,4.00,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Morning Sunrise Chai,8.00
234,1/1/2023,Jan,1:18:34 PM,Afternoon,2,Hell's Kitchen,49,3.00,Tea,Brewed Black tea,English Breakfast Lg,English Breakfast,6.00
235,1/1/2023,Jan,1:19:09 PM,Afternoon,1,Hell's Kitchen,55,4.00,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Morning Sunrise Chai,4.00
236,1/1/2023,Jan,1:19:09 PM,Afternoon,1,Hell's Kitchen,75,3.50,Bakery,Pastry,Croissant,Croissant,3.50
237,1/1/2023,Jan,1:19:36 PM,Afternoon,1,Astoria,23,2.50,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Our Old Time Diner Blend,2.50
238,1/1/2023,Jan,1:19:56 PM,Afternoon,2,Hell's Kitchen,31,2.20,Coffee,Gourmet brewed coffee,Ethiopia Sm,Ethiopia,4.40
239,1/1/2023,Jan,1:20:51 PM,Afternoon,2,Astoria,35,3.10,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Jamaican Coffee River,6.20
240,1/1/2023,Jan,1:21:23 PM,Afternoon,2,Astoria,38,3.75,Coffee,Barista Espresso,Latte,Latte,7.50
241,1/1/2023,Jan,1:22:11 PM,Afternoon,1,Lower Manhattan,23,2.50,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Our Old Time Diner Blend,2.50
242,1/1/2023,Jan,1:22:45 PM,Afternoon,2,Astoria,46,2.50,Tea,Brewed Green tea,Serenity Green Tea Rg,Serenity Green Tea,5.00
243,1/1/2023,Jan,1:23:54 PM,Afternoon,2,Astoria,58,3.50,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Dark chocolate,7.00
244,1/1/2023,Jan,1:24:29 PM,Afternoon,2,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sustainably Grown Organic,7.50
245,1/1/2023,Jan,1:30:49 PM,Afternoon,2,Lower Manhattan,31,2.20,Coffee,Gourmet brewed coffee,Ethiopia Sm,Ethiopia,4.40
246,1/1/2023,Jan,1:32:07 PM,Afternoon,2,Lower Manhattan,25,2.20,Coffee,Organic brewed coffee,Brazilian Sm,Brazilian,4.40
247,1/1/2023,Jan,1:32:34 PM,Afternoon,1,Lower Manhattan,87,3.00,Coffee,Barista Espresso,Ouro Brasileiro shot,Ouro Brasileiro shot,3.00
248,1/1/2023,Jan,1:34:12 PM,Afternoon,2,Astoria,28,2.00,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Columbian Medium Roast,4.00
249,1/1/2023,Jan,1:38:09 PM,Afternoon,1,Hell's Kitchen,27,3.50,Coffee,Organic brewed coffee,Brazilian Lg,Brazilian,3.50
250,1/1/2023,Jan,1:38:11 PM,Afternoon,2,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,Cappuccino,7.50
251,1/1/2023,Jan,1:39:41 PM,Afternoon,1,Lower Manhattan,51,3.00,Tea,Brewed Black tea,Earl Grey Lg,Earl Grey,3.00
252,1/1/2023,Jan,1:40:47 PM,Afternoon,2,Astoria,54,2.50,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Morning Sunrise Chai,5.00
253,1/1/2023,Jan,1:41:09 PM,Afternoon,2,Astoria,42,2.50,Tea,Brewed herbal tea,Lemon Grass Rg,Lemon Grass,5.00
254,1/1/2023,Jan,1:42:10 PM,Afternoon,1,Astoria,43,3.00,Tea,Brewed herbal tea,Lemon Grass Lg,Lemon Grass,3.00
255,1/1/2023,Jan,1:42:49 PM,Afternoon,1,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Jamaican Coffee River,3.75
256,1/1/2023,Jan,1:42:58 PM,Afternoon,1,Lower Manhattan,52,2.50,Tea,Brewed Chai tea,Traditional Blend Chai Rg,Traditional Blend Chai,2.50
257,1/1/2023,Jan,1:42:58 PM,Afternoon,1,Lower Manhattan,72,3.25,Bakery,Scone,Ginger Scone,Ginger Scone,3.25
258,1/1/2023,Jan,1:43:18 PM,Afternoon,2,Astoria,54,2.50,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Morning Sunrise Chai,5.00
259,1/1/2023,Jan,1:43:18 PM,Afternoon,1,Astoria,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,Hazelnut Biscotti,3.25
260,1/1/2023,Jan,1:43:41 PM,Afternoon,2,Lower Manhattan,25,2.20,Coffee,Organic brewed coffee,Brazilian Sm,Brazilian,4.40
261,1/1/2023,Jan,1:44:26 PM,Afternoon,1,Astoria,57,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Spicy Eye Opener Chai,3.10
262,1/1/2023,Jan,1:47:51 PM,Afternoon,1,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,Cappuccino,3.75
263,1/1/2023,Jan,1:49:03 PM,Afternoon,2,Hell's Kitchen,22,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Our Old Time Diner Blend,4.00
264,1/1/2023,Jan,1:50:09 PM,Afternoon,1,Lower Manhattan,53,3.00,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Traditional Blend Chai,3.00
265,1/1/2023,Jan,1:50:47 PM,Afternoon,2,Hell's Kitchen,54,2.50,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Morning Sunrise Chai,5.00
266,1/1/2023,Jan,1:51:56 PM,Afternoon,2,Hell's Kitchen,32,3.00,Coffee,Gourmet brewed coffee,Ethiopia Rg,Ethiopia,6.00
267,1/1/2023,Jan,1:53:04 PM,Afternoon,2,Astoria,38,3.75,Coffee,Barista Espresso,Latte,Latte,7.50
268,1/1/2023,Jan,1:53:31 PM,Afternoon,1,Hell's Kitchen,33,3.50,Coffee,Gourmet brewed coffee,Ethiopia Lg,Ethiopia,3.50
269,1/1/2023,Jan,1:54:18 PM,Afternoon,2,Hell's Kitchen,22,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Our Old Time Diner Blend,4.00
270,1/1/2023,Jan,1:55:04 PM,Afternoon,1,Lower Manhattan,42,2.50,Tea,Brewed herbal tea,Lemon Grass Rg,Lemon Grass,2.50
271,1/1/2023,Jan,1:55:50 PM,Afternoon,2,Hell's Kitchen,45,3.00,Tea,Brewed herbal tea,Peppermint Lg,Peppermint,6.00
272,1/1/2023,Jan,1:56:15 PM,Afternoon,2,Hell's Kitchen,48,2.50,Tea,Brewed Black tea,English Breakfast Rg,English Breakfast,5.00
273,1/1/2023,Jan,1:56:24 PM,Afternoon,1,Hell's Kitchen,53,3.00,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Traditional Blend Chai,3.00
274,1/1/2023,Jan,1:57:34 PM,Afternoon,2,Lower Manhattan,27,3.50,Coffee,Organic brewed coffee,Brazilian Lg,Brazilian,7.00
275,1/1/2023,Jan,1:57:34 PM,Afternoon,1,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,Chocolate Croissant,3.75
276,1/1/2023,Jan,1:58:10 PM,Afternoon,2,Astoria,46,2.50,Tea,Brewed Green tea,Serenity Green Tea Rg,Serenity Green Tea,5.00
277,1/1/2023,Jan,1:58:11 PM,Afternoon,1,Lower Manhattan,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Jamaican Coffee River,2.45
278,1/1/2023,Jan,1:59:58 PM,Afternoon,2,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg,Latte,8.50
279,1/1/2023,Jan,2:03:34 PM,Afternoon,2,Lower Manhattan,25,2.20,Coffee,Organic brewed coffee,Brazilian Sm,Brazilian,4.40
280,1/1/2023,Jan,2:03:34 PM,Afternoon,1,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,Hazelnut Biscotti,3.25
281,1/1/2023,Jan,2:03:41 PM,Afternoon,1,Astoria,32,3.00,Coffee,Gourmet brewed coffee,Ethiopia Rg,Ethiopia,3.00
282,1/1/2023,Jan,2:07:12 PM,Afternoon,2,Astoria,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,Cappuccino,8.50
283,1/1/2023,Jan,2:07:56 PM,Afternoon,1,Astoria,23,2.50,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Our Old Time Diner Blend,2.50
284,1/1/2023,Jan,2:08:03 PM,Afternoon,1,Hell's Kitchen,24,3.00,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Our Old Time Diner Blend,3.00
285,1/1/2023,Jan,2:08:03 PM,Afternoon,1,Hell's Kitchen,71,3.75,Bakery,Pastry,Chocolate Croissant,Chocolate Croissant,3.75
286,1/1/2023,Jan,2:11:14 PM,Afternoon,2,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sustainably Grown Organic,7.50
287,1/1/2023,Jan,2:13:28 PM,Afternoon,2,Lower Manhattan,57,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Spicy Eye Opener Chai,6.20
288,1/1/2023,Jan,2:19:57 PM,Afternoon,2,Lower Manhattan,23,2.50,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Our Old Time Diner Blend,5.00
289,1/1/2023,Jan,2:20:06 PM,Afternoon,2,Astoria,35,3.10,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Jamaican Coffee River,6.20
290,1/1/2023,Jan,2:20:08 PM,Afternoon,2,Astoria,42,2.50,Tea,Brewed herbal tea,Lemon Grass Rg,Lemon Grass,5.00
291,1/1/2023,Jan,2:22:01 PM,Afternoon,2,Hell's Kitchen,49,3.00,Tea,Brewed Black tea,English Breakfast Lg,English Breakfast,6.00
292,1/1/2023,Jan,2:22:38 PM,Afternoon,2,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg,Latte,8.50
293,1/1/2023,Jan,2:23:28 PM,Afternoon,1,Hell's Kitchen,55,4.00,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Morning Sunrise Chai,4.00
294,1/1/2023,Jan,2:23:28 PM,Afternoon,1,Hell's Kitchen,71,3.75,Bakery,Pastry,Chocolate Croissant,Chocolate Croissant,3.75
295,1/1/2023,Jan,2:24:55 PM,Afternoon,2,Astoria,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,Cappuccino,8.50
296,1/1/2023,Jan,2:24:55 PM,Afternoon,1,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone,Jumbo Savory Scone,3.75
297,1/1/2023,Jan,2:25:32 PM,Afternoon,2,Astoria,58,3.50,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Dark chocolate,7.00
298,1/1/2023,Jan,2:25:39 PM,Afternoon,2,Lower Manhattan,24,3.00,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Our Old Time Diner Blend,6.00
299,1/1/2023,Jan,2:26:36 PM,Afternoon,1,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Sustainably Grown Organic,4.75
300,1/1/2023,Jan,2:29:05 PM,Afternoon,2,Lower Manhattan,45,3.00,Tea,Brewed herbal tea,Peppermint Lg,Peppermint,6.00
301,1/1/2023,Jan,2:29:50 PM,Afternoon,2,Lower Manhattan,49,3.00,Tea,Brewed Black tea,English Breakfast Lg,English Breakfast,6.00
302,1/1/2023,Jan,2:29:50 PM,Afternoon,1,Lower Manhattan,78,4.50,Bakery,Scone,Scottish Cream Scone ,Scottish Cream Scone,4.50
303,1/1/2023,Jan,2:30:51 PM,Afternoon,1,Hell's Kitchen,48,2.50,Tea,Brewed Black tea,English Breakfast Rg,English Breakfast,2.50
304,1/1/2023,Jan,2:30:58 PM,Afternoon,1,Lower Manhattan,57,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Spicy Eye Opener Chai,3.10
305,1/1/2023,Jan,2:31:26 PM,Afternoon,1,Lower Manhattan,42,2.50,Tea,Brewed herbal tea,Lemon Grass Rg,Lemon Grass,2.50
306,1/1/2023,Jan,2:32:20 PM,Afternoon,2,Hell's Kitchen,30,3.00,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Columbian Medium Roast,6.00
307,1/1/2023,Jan,2:32:42 PM,Afternoon,2,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,Cappuccino,8.50
308,1/1/2023,Jan,2:32:54 PM,Afternoon,2,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg,Latte,8.50
309,1/1/2023,Jan,2:35:47 PM,Afternoon,1,Astoria,55,4.00,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Morning Sunrise Chai,4.00
310,1/1/2023,Jan,2:36:23 PM,Afternoon,2,Astoria,30,3.00,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Columbian Medium Roast,6.00
311,1/1/2023,Jan,2:36:35 PM,Afternoon,1,Lower Manhattan,57,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Spicy Eye Opener Chai,3.10
312,1/1/2023,Jan,2:37:48 PM,Afternoon,1,Lower Manhattan,44,2.50,Tea,Brewed herbal tea,Peppermint Rg,Peppermint,2.50
313,1/1/2023,Jan,2:39:06 PM,Afternoon,1,Lower Manhattan,87,3.00,Coffee,Barista Espresso,Ouro Brasileiro shot,Ouro Brasileiro shot,3.00
314,1/1/2023,Jan,2:39:48 PM,Afternoon,2,Hell's Kitchen,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Jamaican Coffee River,4.90
315,1/1/2023,Jan,2:42:39 PM,Afternoon,2,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Sustainably Grown Organic,9.50
316,1/1/2023,Jan,2:43:13 PM,Afternoon,2,Astoria,50,2.50,Tea,Brewed Black tea,Earl Grey Rg,Earl Grey,5.00
317,1/1/2023,Jan,2:45:31 PM,Afternoon,1,Astoria,47,3.00,Tea,Brewed Green tea,Serenity Green Tea Lg,Serenity Green Tea,3.00
318,1/1/2023,Jan,2:46:09 PM,Afternoon,1,Hell's Kitchen,48,2.50,Tea,Brewed Black tea,English Breakfast Rg,English Breakfast,2.50
319,1/1/2023,Jan,2:47:29 PM,Afternoon,1,Hell's Kitchen,24,3.00,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Our Old Time Diner Blend,3.00
320,1/1/2023,Jan,2:47:29 PM,Afternoon,1,Hell's Kitchen,75,3.50,Bakery,Pastry,Croissant,Croissant,3.50
321,1/1/2023,Jan,2:49:49 PM,Afternoon,2,Hell's Kitchen,51,3.00,Tea,Brewed Black tea,Earl Grey Lg,Earl Grey,6.00
322,1/1/2023,Jan,2:51:19 PM,Afternoon,2,Lower Manhattan,43,3.00,Tea,Brewed herbal tea,Lemon Grass Lg,Lemon Grass,6.00
323,1/1/2023,Jan,2:55:34 PM,Afternoon,2,Astoria,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Jamaican Coffee River,4.90
324,1/1/2023,Jan,2:58:07 PM,Afternoon,2,Hell's Kitchen,30,3.00,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Columbian Medium Roast,6.00
325,1/1/2023,Jan,2:58:35 PM,Afternoon,1,Astoria,43,3.00,Tea,Brewed herbal tea,Lemon Grass Lg,Lemon Grass,3.00
326,1/1/2023,Jan,3:02:04 PM,Afternoon,2,Astoria,39,4.25,Coffee,Barista Espresso,Latte Rg,Latte,8.50
327,1/1/2023,Jan,3:02:28 PM,Afternoon,1,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte,Latte,3.75
328,1/1/2023,Jan,3:06:27 PM,Afternoon,2,Lower Manhattan,25,2.20,Coffee,Organic brewed coffee,Brazilian Sm,Brazilian,4.40
329,1/1/2023,Jan,3:08:28 PM,Afternoon,2,Astoria,43,3.00,Tea,Brewed herbal tea,Lemon Grass Lg,Lemon Grass,6.00
330,1/1/2023,Jan,3:09:37 PM,Afternoon,1,Astoria,22,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Our Old Time Diner Blend,2.00
331,1/1/2023,Jan,3:09:54 PM,Afternoon,1,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Sustainably Grown Organic,4.75
332,1/1/2023,Jan,3:10:10 PM,Afternoon,1,Lower Manhattan,40,3.75,Coffee,Barista Espresso,Cappuccino,Cappuccino,3.75
333,1/1/2023,Jan,3:10:10 PM,Afternoon,1,Lower Manhattan,75,3.50,Bakery,Pastry,Croissant,Croissant,3.50
334,1/1/2023,Jan,3:12:22 PM,Afternoon,1,Astoria,24,3.00,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Our Old Time Diner Blend,3.00
335,1/1/2023,Jan,3:12:54 PM,Afternoon,2,Astoria,52,2.50,Tea,Brewed Chai tea,Traditional Blend Chai Rg,Traditional Blend Chai,5.00
336,1/1/2023,Jan,3:14:19 PM,Afternoon,2,Astoria,26,3.00,Coffee,Organic brewed coffee,Brazilian Rg,Brazilian,6.00
337,1/1/2023,Jan,3:16:37 PM,Afternoon,2,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,Latte,7.50
338,1/1/2023,Jan,3:18:56 PM,Afternoon,1,Astoria,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Sustainably Grown Organic,4.75
